unit,n,wins,unit_name,n_images,image_path,image_confidence,image_distance_ft,win_rate,shrunk_rate,base_rate
246_Stair_406261773_n739764106,11,1,Avenue I (Stair),10,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0EFM/W0EFM5B9/faces/L.jpg,0.53,29.0,0.0909,0.2632,0.5
363_Stair_408401280_n738428750,11,1,Westchester Sq-E Tremont Av (Stair),11,/share/ju/cyclomedia/raw/bronx_2025_1k/W0CPP/W0CPPHYR/faces/L.jpg,0.474,44.0,0.0909,0.2632,0.5
432_Stair_408196139_n739019949,11,1,Prospect Av (Stair),12,/share/ju/cyclomedia/raw/bronx_2025_1k/W0E98/W0E982Y5/faces/L.jpg,0.386,45.0,0.0909,0.2632,0.5
302_Stair_408407262_n739397252,11,1,168 St-Washington Hts (Stair),7,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0D28/W0D289LK/faces/R.jpg,0.483,43.0,0.0909,0.2632,0.5
418_Stair_408935457_n738571661,11,1,233 St (Stair),15,/share/ju/cyclomedia/raw/bronx_2025_1k/W0E3Y/W0E3YC15/faces/R.jpg,0.598,32.0,0.0909,0.2632,0.5
200_Stair_405880980_n738139015,8,0,Beach 90 St (Stair),6,/share/ju/cyclomedia/raw/queens_2025_1k/W0DIN/W0DINMI8/faces/F.jpg,0.575,32.0,0.0,0.25,0.5
504_Stair_406207463_n740710103,16,2,Clifton (Stair),12,/share/ju/cyclomedia/raw/si_2025_1k/W0EKW/W0EKWM4W/faces/R.jpg,0.524,39.0,0.125,0.25,0.5
63_Stair_406273515_n739967384,8,0,62 St/New Utrecht Av (Stair),7,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0DCH/W0DCH83C/faces/L.jpg,0.582,33.0,0.0,0.25,0.5
245_Stair_406287080_n739766460,8,0,18 Av (Stair),9,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0EFT/W0EFTUFQ/faces/R.jpg,0.613,29.0,0.0,0.25,0.5
22_Stair_407074289_n740133042,8,0,Rector St (Stair),8,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0ELX/W0ELX9BX/faces/L.jpg,0.565,35.0,0.0,0.25,0.5
305_Stair_408213608_n739544144,8,0,137 St-City College (Stair),11,/share/ju/cyclomedia/raw/manhattan_2025_1k/W0D28/W0D288YG/faces/L.jpg,0.532,38.0,0.0,0.25,0.5
349_Stair_406634149_n739027336,8,0,Junius St (Stair),7,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0E7R/W0E7RBF8/faces/B.jpg,0.54,18.0,0.0,0.25,0.5
97_Stair_406969112_n739354484,8,0,Myrtle Av (Stair),10,/share/ju/cyclomedia/raw/brooklyn_2025_1k/W0E5S/W0E5SEAH/faces/L.jpg,0.49,27.0,0.0,0.25,0.5
384_Stair_408532360_n739077503,12,1,Burnside Av (Stair),9,/share/ju/cyclomedia/raw/bronx_2025_1k/W0CPM/W0CPMUE1/faces/R.jpg,0.552,36.0,0.0833,0.25,0.5
448_Ramp_407543973_n738457980,8,0,Mets-Willets Point (Ramp),3,/share/ju/cyclomedia/raw/queens_2025_1k/W0EBM/W0EBMG7M/faces/R.jpg,0.303,66.0,0.0,0.25,0.5
432_Stair_408195886_n739015009,8,0,Prospect Av (Stair),11,/share/ju/cyclomedia/raw/bronx_2025_1k/W0D2X/W0D2XIUK/faces/R.jpg,0.583,33.0,0.0,0.25,0.5
