layer,model,boroct2020,n_images,mean_score,comparisons,median_income
census_tract,gemma-4-12b,4020200,41,-0.3049,51,
census_tract,gemma-4-12b,4020400,33,0.0455,39,63750.0
census_tract,gemma-4-12b,4020500,88,-0.6799,121,76786.0
census_tract,gemma-4-12b,4020600,20,-0.15,23,56667.0
census_tract,gemma-4-12b,4020800,63,-0.4656,83,60486.0
census_tract,gemma-4-12b,4021200,57,-0.1637,77,70776.0
census_tract,gemma-4-12b,4021400,68,-0.2022,94,87356.0
census_tract,gemma-4-12b,4021601,70,-0.579,102,92609.0
census_tract,gemma-4-12b,4021602,32,-0.3542,42,73446.0
census_tract,gemma-4-12b,4021603,11,-0.3333,15,
census_tract,gemma-4-12b,4021900,92,-0.6424,125,
census_tract,gemma-4-12b,4022001,75,-0.4933,92,86915.0
census_tract,gemma-4-12b,4022002,62,-0.2296,87,89600.0
census_tract,gemma-4-12b,4022900,67,-1.0796,84,
census_tract,gemma-4-12b,4023000,18,0.1389,21,118494.0
census_tract,gemma-4-12b,4023200,37,0.3108,50,102386.0
census_tract,gemma-4-12b,4023501,15,-0.6,19,60044.0
census_tract,gemma-4-12b,4023502,17,-0.3137,22,82676.0
census_tract,gemma-4-12b,4023600,30,0.1333,36,81557.0
census_tract,gemma-4-12b,4023800,29,0.4138,39,59938.0
census_tract,gemma-4-12b,4024000,28,0.2262,36,59421.0
census_tract,gemma-4-12b,4024300,93,-0.172,121,60880.0
census_tract,gemma-4-12b,4024500,43,-0.3198,67,62647.0
census_tract,gemma-4-12b,4024600,17,-0.3333,29,
census_tract,gemma-4-12b,4024700,33,-0.5909,42,57143.0
census_tract,gemma-4-12b,4024900,33,0.3333,37,76987.0
census_tract,gemma-4-12b,4025100,37,0.045,54,90996.0
census_tract,gemma-4-12b,4025301,27,0.6296,33,70664.0
census_tract,gemma-4-12b,4025302,22,0.3333,28,66393.0
census_tract,gemma-4-12b,4025401,26,-0.1282,35,76434.0
census_tract,gemma-4-12b,4025402,36,-0.1481,48,41822.0
census_tract,gemma-4-12b,4025500,18,-0.125,25,92260.0
census_tract,gemma-4-12b,4025700,27,0.037,41,95139.0
census_tract,gemma-4-12b,4025800,40,-0.1083,53,107442.0
census_tract,gemma-4-12b,4025900,27,0.0,30,61289.0
census_tract,gemma-4-12b,4026000,30,-0.2111,34,63565.0
census_tract,gemma-4-12b,4026100,24,-0.1528,36,79419.0
census_tract,gemma-4-12b,4026200,22,0.2273,25,83667.0
census_tract,gemma-4-12b,4026300,55,-0.3218,78,87232.0
census_tract,gemma-4-12b,4026400,39,-0.0855,60,86411.0
census_tract,gemma-4-12b,4026501,12,0.3333,14,73641.0
census_tract,gemma-4-12b,4026502,17,-0.4412,25,74643.0
census_tract,gemma-4-12b,4026600,31,-0.0753,37,55441.0
census_tract,gemma-4-12b,4026700,36,0.2176,46,58274.0
census_tract,gemma-4-12b,4026901,12,0.4167,14,58163.0
census_tract,gemma-4-12b,4026902,8,-0.125,10,53694.0
census_tract,gemma-4-12b,4027000,33,0.0101,46,110938.0
census_tract,gemma-4-12b,4027101,6,-0.5,9,54568.0
census_tract,gemma-4-12b,4027200,11,-0.1364,14,97357.0
census_tract,gemma-4-12b,4027301,12,0.3333,14,69631.0
census_tract,gemma-4-12b,4027302,12,0.3333,15,81532.0
census_tract,gemma-4-12b,4027400,26,0.0,32,65234.0
census_tract,gemma-4-12b,4027500,14,0.4167,23,66971.0
census_tract,gemma-4-12b,4027600,19,-0.1053,24,111250.0
census_tract,gemma-4-12b,4027701,5,0.0,6,67602.0
census_tract,gemma-4-12b,4027702,15,0.6,19,69521.0
census_tract,gemma-4-12b,4027800,13,-0.1538,15,51992.0
census_tract,gemma-4-12b,4027900,12,-0.125,13,81417.0
census_tract,gemma-4-12b,4028000,18,-0.0556,25,80286.0
census_tract,gemma-4-12b,4028100,25,0.28,32,86631.0
census_tract,gemma-4-12b,4028200,38,-0.0351,54,92368.0
census_tract,gemma-4-12b,4028300,19,0.4561,25,79340.0
census_tract,gemma-4-12b,4028400,54,-0.0802,65,72633.0
census_tract,gemma-4-12b,4028500,19,0.0175,22,126991.0
census_tract,gemma-4-12b,4028700,14,0.6905,22,83108.0
census_tract,gemma-4-12b,4028801,36,-0.1481,58,120234.0
census_tract,gemma-4-12b,4028802,28,0.1429,32,89653.0
census_tract,gemma-4-12b,4028803,18,0.5556,23,
census_tract,gemma-4-12b,4028900,16,0.5208,23,83870.0
census_tract,gemma-4-12b,4029100,46,-0.3562,71,53384.0
census_tract,gemma-4-12b,4029300,28,-0.244,38,70556.0
census_tract,gemma-4-12b,4029400,133,-0.2519,178,102984.0
census_tract,gemma-4-12b,4029500,30,0.1333,37,81051.0
census_tract,gemma-4-12b,4029700,88,-0.4091,105,101538.0
census_tract,gemma-4-12b,4029900,19,-0.7632,32,
census_tract,gemma-4-12b,4030600,356,-0.7074,484,111458.0
census_tract,gemma-4-12b,4030903,37,0.3266,47,75728.0
census_tract,gemma-4-12b,4030904,68,-0.3873,85,58726.0
census_tract,gemma-4-12b,4030905,25,0.2267,30,74339.0
census_tract,gemma-4-12b,4030906,36,-0.4306,50,84907.0
census_tract,gemma-4-12b,4031700,128,-0.2578,180,75591.0
census_tract,gemma-4-12b,4032000,170,-0.3559,224,100417.0
census_tract,gemma-4-12b,4032700,16,-0.1042,19,88167.0
census_tract,gemma-4-12b,4032800,57,-0.1579,76,94398.0
census_tract,gemma-4-12b,4032900,79,-0.2068,102,66573.0
census_tract,gemma-4-12b,4033000,96,-0.2873,128,105013.0
census_tract,gemma-4-12b,4033100,155,-1.0769,209,
census_tract,gemma-4-12b,4033401,62,-0.1387,84,63892.0
census_tract,gemma-4-12b,4033403,17,0.0294,22,53013.0
census_tract,gemma-4-12b,4033404,9,-0.1111,13,52574.0
census_tract,gemma-4-12b,4033405,35,0.2048,50,86065.0
census_tract,gemma-4-12b,4033700,19,0.5789,25,107750.0
census_tract,gemma-4-12b,4033900,13,0.1538,15,69755.0
census_tract,gemma-4-12b,4034700,82,-0.6663,116,77025.0
census_tract,gemma-4-12b,4035100,14,0.3095,21,85284.0
census_tract,gemma-4-12b,4035200,72,-0.0741,95,105139.0
census_tract,gemma-4-12b,4035300,26,0.2276,39,104107.0
census_tract,gemma-4-12b,4035700,112,-0.314,150,93153.0
census_tract,gemma-4-12b,4035800,76,-0.1382,108,97128.0
census_tract,gemma-4-12b,4036100,21,-0.119,32,92500.0
census_tract,gemma-4-12b,4036300,12,0.4444,16,76613.0
census_tract,gemma-4-12b,4036500,25,0.0,30,72031.0
census_tract,gemma-4-12b,4036600,53,-0.283,71,75395.0
census_tract,gemma-4-12b,4036700,38,0.4868,45,78200.0
census_tract,gemma-4-12b,4036800,43,0.0698,49,125882.0
